Date,Ta_mean,Recon
1860-03,1.8,
1860-04,7.1,
1860-05,13.8,
1860-06,15.9,
1860-07,16.2,
1860-08,15.8,
1860-09,13.1,
1860-10,8.1,
1860-11,1.3,
1860-12,-0.3,
1861-01,-4.4,
1861-02,1.9,
1861-03,4.4,
1861-04,8.1,
1861-05,12.3,
1861-06,17,
1861-07,17.4,
1861-08,19.5,
1861-09,14.1,
1861-10,10.9,
1861-11,4.2,
1861-12,-0.8,
1862-01,-0.5,
1862-02,1.5,
1862-03,6.8,
1862-04,11.1,
1862-05,15.2,
1862-06,15.4,
1862-07,19,
1862-08,17,
1862-09,14.6,
1862-10,10.7,
1862-11,4.2,
1862-12,0.7,
1863-01,1.4,
1863-02,1.7,
1863-03,4.2,
1863-04,10,
1863-05,13.8,
1863-06,16,
1863-07,18,
1863-08,19.2,
1863-09,13.1,
1863-10,10.1,
1863-11,4.4,
1863-12,1.6,
